log_gamma,H2S,K,HS,Na,HSO4,KSO4,NaSO4,SO4,S,Ca,CaSO4
150_1,0.058,-0.277,-0.25,-0.228,-0.228,-0.228,-0.228,-1.085,-0.939,-0.826,0.058
150_3,0.161,-0.26,-0.219,-0.186,-0.186,-0.186,-0.186,-1.225,-1.016,-0.862,0.161
200_1,0.073,-0.313,-0.282,-0.256,-0.256,-0.256,-0.256,-1.243,-1.073,-0.942,0.073
200_3,0.2,-0.284,-0.236,-0.197,-0.197,-0.197,-0.197,-1.389,-1.147,-0.969,0.2
250_1,0.108,-0.35,-0.312,-0.281,-0.281,-0.281,-0.281,-1.447,-1.244,-1.087,0.108
250_3,0.245,-0.326,-0.269,-0.222,-0.222,-0.222,-0.222,-1.624,-1.337,-1.127,0.245
300_1,0.165,-0.408,-0.361,-0.32,-0.32,-0.32,-0.32,-1.777,-1.519,-1.321,0.165
300_3,0.357,-0.353,-0.282,-0.223,-0.223,-0.223,-0.223,-1.964,-1.605,-1.342,0.357
350_1,0.311,-0.535,-0.462,-0.401,-0.401,-0.401,-0.401,-2.539,-2.151,-1.856,0.311
350_3,0.579,-0.495,-0.352,-0.265,-0.265,-0.265,-0.265,-2.799,-2.268,-1.881,0.579
